ID da resposta,Data de início,Data da última ação,Endereço IP,O que achou do sistema de submissão de trabalhos?,O que achou do sistema de submissão de trabalhos? - comment,Você mora em Curitiba?,O que você achou das instalações do evento?,O que você achou das instalações do evento? - comment,Você teve alguma dificuldade para se hospedar no hotel?,"Considerando todos os aspectos locais do evento, nos dê sua opinião:

	O que você achou do evento?",Você teve acesso a todos os recursos necessários para sua apresentação?,"Se não, quais recursos faltaram?","Durante o evento, você teve alguma dificuldade para se alimentar?"
58,2015-04-26 17:31:47,2015-04-26 17:31:47,179176173240,,,N/A,,,N/A,,N/A,,N/A
59,2015-04-26 17:33:16,2015-04-26 17:33:16,187.55.96.118,,,N/A,,,N/A,,N/A,,N/A
60,2015-04-26 17:33:35,2015-04-26 17:33:35,89.145.95.42,,,N/A,,,N/A,,N/A,,N/A
61,2015-04-26 18:23:43,2015-04-26 18:23:43,189.73.47.93,,,N/A,,,N/A,,N/A,,N/A
62,2015-04-26 18:26:49,2015-04-26 18:27:36,191.177.249.47,Ótimo,,Sim,Ótimo,,N/A,Gostei bastante aprendi muito o pessoal foi muito legal,Sim,,Não
63,2015-04-26 18:51:02,2015-04-26 18:51:02,200103134252,,,N/A,,,N/A,,N/A,,N/A
64,2015-04-26 19:20:48,2015-04-26 19:29:29,177.96.87.80,Normal,A principio normal foi a primeira vez que participei e gostei.,Não,Normal,"Tendo poucas pessoas foi tranquilo, poucos participantes para instalacao, a estrutura para instalacao sendo uma instal fest foi precaria mas como dito acima nao tava toda mal",Não, Como primeira participacao da minha parte adorei,Sim,,Não
65,2015-04-27 06:05:38,2015-04-27 06:09:35,10.0.50.1,Ótimo,,Não,Ótimo,,Não,"Acredito que a divulgação deve ser ampliada, atraindo um público maior e diferenciado.",Sim,,Não
66,2015-04-27 06:23:45,2015-04-27 06:23:45,179.179.9.167,,,N/A,,,N/A,,N/A,,N/A
67,2015-04-27 06:57:33,2015-04-27 06:57:33,177220191125,,,N/A,,,N/A,,N/A,,N/A
68,2015-04-27 07:06:44,2015-04-27 07:08:57,177.82.57.33,Bom,,Sim,Ótimo,,N/A,"Excelente. Sugiro que as palestras sejam distribuídas em, pelo menos, 03 auditórios. Algumas palestras que tinham temas muito interessantes acabaram ""batendo horário"". ",Sim,,Não
69,2015-04-27 07:07:29,2015-04-27 07:07:29,172.16.160.211,,,N/A,,,N/A,,N/A,,N/A
70,2015-04-27 08:41:13,2015-04-27 08:42:15,172.16.205.20,Bom,,Sim,Ótimo,,N/A,Muito bom!,Sim,,Não
71,2015-04-27 09:27:49,2015-04-27 09:29:04,189.58.168.94,Normal,,Não,Ótimo,,N/A,Muito bom!,Sim,,Não
